feature,coefficient,abs_coef
cat__diag_1_V58,1.530485742884127,1.530485742884127
cat__diag_2_782,-1.5201779023790345,1.5201779023790345
cat__diag_1_386,-1.4877453723180216,1.4877453723180216
cat__diag_2_465,1.4703032782604284,1.4703032782604284
cat__age_[0-10),-1.4623866102552492,1.4623866102552492
cat__diag_1_566,-1.4469200829579774,1.4469200829579774
cat__diag_3_553,-1.4314671676800865,1.4314671676800865
cat__diag_3_V64,1.381182859657425,1.381182859657425
cat__diag_1_250.41,1.365567762672056,1.365567762672056
cat__diag_1_443,1.3483333977505623,1.3483333977505623
cat__diag_1_218,-1.3368985693712472,1.3368985693712472
cat__diag_2_507,-1.2163268284797422,1.2163268284797422
cat__diag_2_625,1.207847738574305,1.207847738574305
cat__diag_2_807,-1.1990307696821243,1.1990307696821243
cat__diag_1_723,-1.199001962300857,1.199001962300857
cat__diag_2_332,1.1749702044662573,1.1749702044662573
cat__diag_1_967,1.1610634206552328,1.1610634206552328
cat__diag_1_281,1.1542944251381366,1.1542944251381366
cat__diag_1_239,1.1499551861692414,1.1499551861692414
cat__diag_1_298,1.1469979150495266,1.1469979150495266
cat__diag_2_250.1,1.1229223779543085,1.1229223779543085
cat__diag_3_42,1.1201883069182392,1.1201883069182392
cat__diag_1_481,-1.1199517581143221,1.1199517581143221
cat__diag_1_204,1.106175238304346,1.106175238304346
cat__diag_1_V55,-1.1049847003010544,1.1049847003010544
